571	Dota 2 Workshop Tools Alpha
572	Dota 2 (dedicated)
573	Dota 2 Workshop Tools Alpha
591	Left 4 Dead 2 Demo
592	Left 4 Dead 2 Demo
593	Left 4 Dead 2 Demo
594	Left 4 Dead 2 Demo
595	Left 4 Dead 2 Demo
596	Left 4 Dead 2 Demo
597	Left 4 Dead 2 Demo
598	Left 4 Dead 2 Demo
599	Left 4 Dead 2 Demo
601	Source Dedicated Server
602 Left 4 Dead 2 Demo
621	Portal 2 / Portal 2 Authoring Tools
622	Portal 2
623	Portal 2
624	Portal 2
625	Portal 2
626	Portal 2
627	Portal 2
628	Portal 2
629	Portal 2 Authoring Tools
631	Alien Swarm / Alien Swarm Dedicated Server / Alien Swarm - SDK
641	Alien Swarm - SDK
645	Portal 2
660	Portal 2
681	Dota 2
682	Dota 2 (shared)
701	ValveTestApp700
702	ValveTestApp700
703	ValveTestApp700
704	ValveTestApp700
705	ValveTestApp700
706	ValveTestApp700
711	Counter-Strike: Global Offensive / cstrike15 Engine
712	Counter-Strike: Global Offensive / cstrike15 Content
713	Source Dedicated Server
731	Counter-Strike 2 / Counter-Strike Global Offensive - Dedicated Server / Counter-Strike:Global Offensive
732	Counter-Strike 2 / Counter-Strike:Global Offensive
733	Counter-Strike 2 / Counter-Strike:Global Offensive
821	Half-Life 2 / Team Fortress 2 (shared)
822	Half-Life 2: Episode Two (shared)
823	Portal (shared)
824	Day of Defeat: Source (shared)
825	Half-Life 2 (shared)
826	Team Fortress 2 (shared)
827	Left 4 Dead 2
841	Portal 2
842	Portal 2 (shared)
843	Portal 2
852	ValveTestApp852
883	Source SDK 2007
900	Zombie Movie
901	Day of Defeat: Prelude to Victory
902	Dangerous Waters Trailer
903	Darwinia Trailer
904	Half-Life 2 Trailer
905	Half-Life 2: Episode One Trailer
906	Rag Doll Kung Fu Trailer
907	Red Orchestra Trailer
908	Shadowgrounds Trailer
909	Sin Episodes: Emergence Trailer
